t,dir,outcome,err,stream,seq,id,gen_time,on_time
6970,DATA,STATE_APPLIED,OK,0,70,0,6910,0
6970,ACK,ACK_STATE,OK,2,70,0,0,0
6980,ACK,ACK_STATE,OK,3,69,0,0,0
6990,ACK,ACK_STATE,OK,0,70,0,0,0
7000,DATA,STATE_APPLIED,OK,3,70,0,6941,0
7010,DATA,STATE_APPLIED,OK,6,70,0,6985,0
7020,ACK,ACK_STATE,OK,3,70,0,0,0
7030,ACK,ACK_STATE,OK,6,70,0,0,0
7040,DATA,STATE_APPLIED,OK,1,71,0,7011,0
7050,DATA,STATE_APPLIED,OK,2,71,0,7028,0
7060,DATA,STATE_APPLIED,OK,3,71,0,7029,0
7060,ACK,ACK_STATE,OK,1,71,0,0,0
7070,DATA,STATE_APPLIED,OK,4,71,0,7043,0
7070,ACK,ACK_STATE,OK,2,71,0,0,0
7080,ACK,ACK_STATE,OK,3,71,0,0,0
7090,ACK,ACK_STATE,OK,4,71,0,0,0
7110,DATA,STATE_APPLIED,OK,6,71,0,7082,0
7130,DATA,STATE_APPLIED,OK,1,72,0,7106,0
7130,ACK,ACK_STATE,OK,6,71,0,0,0
7140,DATA,STATE_APPLIED,OK,2,72,0,7120,0
7150,ACK,ACK_STATE,OK,1,72,0,0,0
7160,DATA,STATE_APPLIED,OK,3,72,0,7138,0
7160,ACK,ACK_STATE,OK,2,72,0,0,0
7170,DATA,STATE_APPLIED,OK,4,72,0,7141,0
7180,ACK,ACK_STATE,OK,3,72,0,0,0
7190,ACK,ACK_STATE,OK,4,72,0,0,0
7200,DATA,STATE_APPLIED,OK,5,72,0,7171,0
7210,DATA,STATE_APPLIED,OK,6,72,0,7178,0
7220,ACK,ACK_STATE,OK,5,72,0,0,0
7230,ACK,ACK_STATE,OK,6,72,0,0,0
7240,DATA,STATE_APPLIED,OK,1,73,0,7213,0
7250,DATA,STATE_APPLIED,OK,2,73,0,7227,0
7260,ACK,ACK_STATE,OK,1,73,0,0,0
7270,DATA,STATE_APPLIED,OK,4,73,0,7248,0
7270,ACK,ACK_STATE,OK,2,73,0,0,0
7290,DATA,STATE_APPLIED,OK,5,73,0,7270,0
7290,ACK,ACK_STATE,OK,4,73,0,0,0
7310,ACK,ACK_STATE,OK,5,73,0,0,0
7320,DATA,STATE_APPLIED,OK,7,73,0,7292,0
7340,DATA,STATE_APPLIED,OK,1,74,0,7317,0
7340,ACK,ACK_STATE,OK,7,73,0,0,0
7360,DATA,STATE_APPLIED,OK,2,74,0,7331,0
7360,ACK,ACK_STATE,OK,1,74,0,0,0
7370,DATA,STATE_APPLIED,OK,4,74,0,7350,0
7380,ACK,ACK_STATE,OK,2,74,0,0,0
7390,DATA,STATE_APPLIED,OK,5,74,0,7362,0
7390,ACK,ACK_STATE,OK,4,74,0,0,0
7410,DATA,STATE_APPLIED,OK,7,74,0,7386,0
7410,ACK,ACK_STATE,OK,5,74,0,0,0
7430,ACK,ACK_STATE,OK,7,74,0,0,0
7470,DATA,STATE_APPLIED,OK,4,75,0,7447,0
7490,ACK,ACK_STATE,OK,4,75,0,0,0
7500,DATA,STATE_APPLIED,OK,5,75,0,7472,0
